Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Hodgkin Lymphoma,1999,2.6,833,33499204
California,Hodgkin Lymphoma,2000,2.2,754,33987977
California,Hodgkin Lymphoma,2001,2.5,863,34479458
California,Hodgkin Lymphoma,2002,2.5,847,34871843
California,Hodgkin Lymphoma,2003,2.5,868,35253159
California,Hodgkin Lymphoma,2004,2.5,896,35574576
California,Hodgkin Lymphoma,2005,2.6,913,35827943
California,Hodgkin Lymphoma,2006,2.6,920,36021202
California,Hodgkin Lymphoma,2007,2.7,978,36250311
California,Hodgkin Lymphoma,2008,2.7,974,36604337
California,Hodgkin Lymphoma,2009,2.4,894,36961229
California,Hodgkin Lymphoma,2010,2.5,956,37319550
California,Hodgkin Lymphoma,2011,2.4,914,37636311
California,Hodgkin Lymphoma,2012,2.3,867,37944551
California,Hodgkin Lymphoma,2013,2.3,884,38253768
California,Hodgkin Lymphoma,2014,2.3,892,38586706
California,Hodgkin Lymphoma,2015,2.2,868,38904296
California,Hodgkin Lymphoma,2016,2.2,903,39149186
California,Hodgkin Lymphoma,2017,2.2,882,39337785
California,Hodgkin Lymphoma,2018,2.1,841,39437463
California,Hodgkin Lymphoma,2019,2.2,899,39437610
