Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Kaposi Sarcoma,1999,1,337,33499204
California,Kaposi Sarcoma,2000,0.9,309,33987977
California,Kaposi Sarcoma,2001,1,318,34479458
California,Kaposi Sarcoma,2002,0.8,276,34871843
California,Kaposi Sarcoma,2003,0.8,286,35253159
California,Kaposi Sarcoma,2004,0.9,305,35574576
California,Kaposi Sarcoma,2005,0.8,282,35827943
California,Kaposi Sarcoma,2006,0.7,235,36021202
California,Kaposi Sarcoma,2007,0.7,245,36250311
California,Kaposi Sarcoma,2008,0.6,226,36604337
California,Kaposi Sarcoma,2009,0.7,264,36961229
California,Kaposi Sarcoma,2010,0.7,239,37319550
California,Kaposi Sarcoma,2011,0.6,206,37636311
California,Kaposi Sarcoma,2012,0.6,225,37944551
California,Kaposi Sarcoma,2013,0.6,222,38253768
California,Kaposi Sarcoma,2014,0.6,227,38586706
California,Kaposi Sarcoma,2015,0.6,222,38904296
California,Kaposi Sarcoma,2016,0.5,209,39149186
California,Kaposi Sarcoma,2017,0.5,185,39337785
California,Kaposi Sarcoma,2018,0.4,175,39437463
California,Kaposi Sarcoma,2019,0.4,174,39437610
