Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Kidney and Renal Pelvis,1999,10.5,3087,33499204
California,Kidney and Renal Pelvis,2000,10.5,3157,33987977
California,Kidney and Renal Pelvis,2001,11,3374,34479458
California,Kidney and Renal Pelvis,2002,11.6,3615,34871843
California,Kidney and Renal Pelvis,2003,12.3,3941,35253159
California,Kidney and Renal Pelvis,2004,12.5,4090,35574576
California,Kidney and Renal Pelvis,2005,13,4333,35827943
California,Kidney and Renal Pelvis,2006,13.3,4502,36021202
California,Kidney and Renal Pelvis,2007,13.7,4701,36250311
California,Kidney and Renal Pelvis,2008,14.7,5188,36604337
California,Kidney and Renal Pelvis,2009,14.8,5334,36961229
California,Kidney and Renal Pelvis,2010,14.3,5325,37319550
California,Kidney and Renal Pelvis,2011,14.3,5442,37636311
California,Kidney and Renal Pelvis,2012,14.3,5550,37944551
California,Kidney and Renal Pelvis,2013,14.5,5787,38253768
California,Kidney and Renal Pelvis,2014,14.3,5876,38586706
California,Kidney and Renal Pelvis,2015,15.3,6379,38904296
California,Kidney and Renal Pelvis,2016,15,6399,39149186
California,Kidney and Renal Pelvis,2017,15.5,6718,39337785
California,Kidney and Renal Pelvis,2018,14.7,6506,39437463
California,Kidney and Renal Pelvis,2019,15.1,6796,39437610
