Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Larynx,1999,3.4,983,33499204
California,Larynx,2000,3.2,946,33987977
California,Larynx,2001,3.2,964,34479458
California,Larynx,2002,3,936,34871843
California,Larynx,2003,2.9,925,35253159
California,Larynx,2004,2.7,882,35574576
California,Larynx,2005,2.8,922,35827943
California,Larynx,2006,2.6,878,36021202
California,Larynx,2007,2.7,913,36250311
California,Larynx,2008,2.5,896,36604337
California,Larynx,2009,2.3,842,36961229
California,Larynx,2010,2.4,898,37319550
California,Larynx,2011,2.3,868,37636311
California,Larynx,2012,2.2,871,37944551
California,Larynx,2013,2.1,847,38253768
California,Larynx,2014,1.9,792,38586706
California,Larynx,2015,2,849,38904296
California,Larynx,2016,1.9,809,39149186
California,Larynx,2017,1.7,775,39337785
California,Larynx,2018,1.8,802,39437463
California,Larynx,2019,1.7,811,39437610
