Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Leukemias,1999,12.4,3719,33499204
California,Leukemias,2000,12.9,3951,33987977
California,Leukemias,2001,12.9,4004,34479458
California,Leukemias,2002,12.5,3973,34871843
California,Leukemias,2003,12.6,4076,35253159
California,Leukemias,2004,12.7,4151,35574576
California,Leukemias,2005,12.4,4136,35827943
California,Leukemias,2006,12.6,4250,36021202
California,Leukemias,2007,13,4446,36250311
California,Leukemias,2008,13.4,4708,36604337
California,Leukemias,2009,13.3,4759,36961229
California,Leukemias,2010,13.7,5017,37319550
California,Leukemias,2011,13.2,4886,37636311
California,Leukemias,2012,13.4,5083,37944551
California,Leukemias,2013,13.4,5200,38253768
California,Leukemias,2014,13.2,5256,38586706
California,Leukemias,2015,12.9,5211,38904296
California,Leukemias,2016,12.7,5210,39149186
California,Leukemias,2017,12.1,5049,39337785
California,Leukemias,2018,11.8,5035,39437463
California,Leukemias,2019,11.7,5025,39437610
