Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Liver and Intrahepatic Bile Duct,1999,6.9,2000,33499204
California,Liver and Intrahepatic Bile Duct,2000,6.7,2010,33987977
California,Liver and Intrahepatic Bile Duct,2001,7.3,2227,34479458
California,Liver and Intrahepatic Bile Duct,2002,7.3,2288,34871843
California,Liver and Intrahepatic Bile Duct,2003,7.4,2378,35253159
California,Liver and Intrahepatic Bile Duct,2004,7.8,2568,35574576
California,Liver and Intrahepatic Bile Duct,2005,8.6,2868,35827943
California,Liver and Intrahepatic Bile Duct,2006,8.6,2945,36021202
California,Liver and Intrahepatic Bile Duct,2007,9,3149,36250311
California,Liver and Intrahepatic Bile Duct,2008,9,3236,36604337
California,Liver and Intrahepatic Bile Duct,2009,9.6,3575,36961229
California,Liver and Intrahepatic Bile Duct,2010,9.6,3687,37319550
California,Liver and Intrahepatic Bile Duct,2011,9.6,3793,37636311
California,Liver and Intrahepatic Bile Duct,2012,9.7,3915,37944551
California,Liver and Intrahepatic Bile Duct,2013,10,4149,38253768
California,Liver and Intrahepatic Bile Duct,2014,10.5,4466,38586706
California,Liver and Intrahepatic Bile Duct,2015,10.2,4483,38904296
California,Liver and Intrahepatic Bile Duct,2016,9.7,4354,39149186
California,Liver and Intrahepatic Bile Duct,2017,9.8,4474,39337785
California,Liver and Intrahepatic Bile Duct,2018,9.6,4463,39437463
California,Liver and Intrahepatic Bile Duct,2019,9.6,4534,39437610
