Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Lung and Bronchus,1999,61,17481,33499204
California,Lung and Bronchus,2000,60,17523,33987977
California,Lung and Bronchus,2001,59.1,17588,34479458
California,Lung and Bronchus,2002,57.6,17474,34871843
California,Lung and Bronchus,2003,56.2,17399,35253159
California,Lung and Bronchus,2004,55.5,17439,35574576
California,Lung and Bronchus,2005,54.9,17564,35827943
California,Lung and Bronchus,2006,54.2,17606,36021202
California,Lung and Bronchus,2007,52.8,17462,36250311
California,Lung and Bronchus,2008,51,17336,36604337
California,Lung and Bronchus,2009,52,18061,36961229
California,Lung and Bronchus,2010,48.6,17334,37319550
California,Lung and Bronchus,2011,45.7,16739,37636311
California,Lung and Bronchus,2012,45.2,16952,37944551
California,Lung and Bronchus,2013,43.6,16888,38253768
California,Lung and Bronchus,2014,43,17165,38586706
California,Lung and Bronchus,2015,42.3,17344,38904296
California,Lung and Bronchus,2016,40.7,17154,39149186
California,Lung and Bronchus,2017,39.5,17100,39337785
California,Lung and Bronchus,2018,37.6,16666,39437463
California,Lung and Bronchus,2019,37.1,16860,39437610
