Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Melanomas of the Skin,1999,18.4,5572,33499204
California,Melanomas of the Skin,2000,18.1,5604,33987977
California,Melanomas of the Skin,2001,19.3,6073,34479458
California,Melanomas of the Skin,2002,18.9,6059,34871843
California,Melanomas of the Skin,2003,18.3,5974,35253159
California,Melanomas of the Skin,2004,19.8,6588,35574576
California,Melanomas of the Skin,2005,21.2,7185,35827943
California,Melanomas of the Skin,2006,20,6822,36021202
California,Melanomas of the Skin,2007,21.1,7370,36250311
California,Melanomas of the Skin,2008,21.5,7640,36604337
California,Melanomas of the Skin,2009,20.8,7535,36961229
California,Melanomas of the Skin,2010,21,7743,37319550
California,Melanomas of the Skin,2011,20.8,7879,37636311
California,Melanomas of the Skin,2012,21.5,8294,37944551
California,Melanomas of the Skin,2013,22.3,8805,38253768
California,Melanomas of the Skin,2014,23.5,9560,38586706
California,Melanomas of the Skin,2015,23.5,9750,38904296
California,Melanomas of the Skin,2016,23.1,9797,39149186
California,Melanomas of the Skin,2017,22.8,9855,39337785
California,Melanomas of the Skin,2018,22.8,10018,39437463
California,Melanomas of the Skin,2019,23.1,10304,39437610
