Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Mesothelioma,1999,1.1,313,33499204
California,Mesothelioma,2000,1.1,329,33987977
California,Mesothelioma,2001,1,312,34479458
California,Mesothelioma,2002,1,318,34871843
California,Mesothelioma,2003,1,309,35253159
California,Mesothelioma,2004,1,322,35574576
California,Mesothelioma,2005,1,335,35827943
California,Mesothelioma,2006,1,308,36021202
California,Mesothelioma,2007,0.9,315,36250311
California,Mesothelioma,2008,1,322,36604337
California,Mesothelioma,2009,1.1,379,36961229
California,Mesothelioma,2010,0.9,297,37319550
California,Mesothelioma,2011,0.9,335,37636311
California,Mesothelioma,2012,0.9,336,37944551
California,Mesothelioma,2013,1,369,38253768
California,Mesothelioma,2014,0.9,338,38586706
California,Mesothelioma,2015,0.9,352,38904296
California,Mesothelioma,2016,0.7,301,39149186
California,Mesothelioma,2017,0.8,334,39337785
California,Mesothelioma,2018,0.7,285,39437463
California,Mesothelioma,2019,0.7,307,39437610
