Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Myeloma,1999,5.4,1544,33499204
California,Myeloma,2000,5.5,1607,33987977
California,Myeloma,2001,5.3,1597,34479458
California,Myeloma,2002,5.3,1630,34871843
California,Myeloma,2003,5.5,1720,35253159
California,Myeloma,2004,5.8,1856,35574576
California,Myeloma,2005,5.9,1914,35827943
California,Myeloma,2006,5.5,1833,36021202
California,Myeloma,2007,5.5,1853,36250311
California,Myeloma,2008,5.8,2017,36604337
California,Myeloma,2009,6.1,2154,36961229
California,Myeloma,2010,6.3,2284,37319550
California,Myeloma,2011,6.2,2322,37636311
California,Myeloma,2012,6.3,2423,37944551
California,Myeloma,2013,5.7,2257,38253768
California,Myeloma,2014,6.2,2526,38586706
California,Myeloma,2015,6.2,2575,38904296
California,Myeloma,2016,6.2,2645,39149186
California,Myeloma,2017,6.1,2666,39337785
California,Myeloma,2018,5.8,2598,39437463
California,Myeloma,2019,6,2716,39437610
