Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Non-Hodgkin Lymphoma,1999,19.1,5647,33499204
California,Non-Hodgkin Lymphoma,2000,19,5735,33987977
California,Non-Hodgkin Lymphoma,2001,19.2,5910,34479458
California,Non-Hodgkin Lymphoma,2002,19,5985,34871843
California,Non-Hodgkin Lymphoma,2003,18.8,6016,35253159
California,Non-Hodgkin Lymphoma,2004,19.3,6268,35574576
California,Non-Hodgkin Lymphoma,2005,19.3,6376,35827943
California,Non-Hodgkin Lymphoma,2006,19.1,6398,36021202
California,Non-Hodgkin Lymphoma,2007,19.3,6598,36250311
California,Non-Hodgkin Lymphoma,2008,19.3,6733,36604337
California,Non-Hodgkin Lymphoma,2009,19.6,6963,36961229
California,Non-Hodgkin Lymphoma,2010,19.3,7079,37319550
California,Non-Hodgkin Lymphoma,2011,18.7,7010,37636311
California,Non-Hodgkin Lymphoma,2012,18.7,7158,37944551
California,Non-Hodgkin Lymphoma,2013,18.6,7285,38253768
California,Non-Hodgkin Lymphoma,2014,19.4,7802,38586706
California,Non-Hodgkin Lymphoma,2015,18.6,7642,38904296
California,Non-Hodgkin Lymphoma,2016,18.3,7718,39149186
California,Non-Hodgkin Lymphoma,2017,17.9,7668,39337785
California,Non-Hodgkin Lymphoma,2018,17.8,7766,39437463
California,Non-Hodgkin Lymphoma,2019,17.6,7811,39437610
