Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Oral Cavity and Pharynx,1999,10.8,3192,33499204
California,Oral Cavity and Pharynx,2000,10.6,3204,33987977
California,Oral Cavity and Pharynx,2001,10.5,3238,34479458
California,Oral Cavity and Pharynx,2002,10.3,3250,34871843
California,Oral Cavity and Pharynx,2003,10.1,3290,35253159
California,Oral Cavity and Pharynx,2004,10.2,3386,35574576
California,Oral Cavity and Pharynx,2005,10.3,3466,35827943
California,Oral Cavity and Pharynx,2006,10.2,3521,36021202
California,Oral Cavity and Pharynx,2007,10.4,3649,36250311
California,Oral Cavity and Pharynx,2008,10.8,3866,36604337
California,Oral Cavity and Pharynx,2009,10.5,3873,36961229
California,Oral Cavity and Pharynx,2010,10.5,3957,37319550
California,Oral Cavity and Pharynx,2011,10.4,4020,37636311
California,Oral Cavity and Pharynx,2012,10.5,4147,37944551
California,Oral Cavity and Pharynx,2013,10.5,4274,38253768
California,Oral Cavity and Pharynx,2014,10.3,4320,38586706
California,Oral Cavity and Pharynx,2015,10.6,4499,38904296
California,Oral Cavity and Pharynx,2016,10.3,4498,39149186
California,Oral Cavity and Pharynx,2017,10,4424,39337785
California,Oral Cavity and Pharynx,2018,10.2,4578,39437463
California,Oral Cavity and Pharynx,2019,10.1,4591,39437610
