Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Ovary,1999,14.1,2252,16800161
California,Ovary,2000,13.8,2270,17050415
California,Ovary,2001,13.6,2284,17294223
California,Ovary,2002,13.8,2358,17498462
California,Ovary,2003,13.4,2343,17709509
California,Ovary,2004,13.1,2340,17871415
California,Ovary,2005,13.2,2407,17996230
California,Ovary,2006,13,2403,18097471
California,Ovary,2007,12.7,2394,18214926
California,Ovary,2008,13,2476,18396972
California,Ovary,2009,12.6,2456,18583075
California,Ovary,2010,12.1,2411,18773276
California,Ovary,2011,11.7,2372,18941522
California,Ovary,2012,12.3,2548,19097277
California,Ovary,2013,11.6,2460,19257182
California,Ovary,2014,11.7,2497,19422017
California,Ovary,2015,11.9,2591,19575981
California,Ovary,2016,11.2,2494,19696031
California,Ovary,2017,10.7,2425,19783962
California,Ovary,2018,10.4,2381,19829641
California,Ovary,2019,10.4,2385,19829085
