Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Pancreas,1999,10.4,2973,33499204
California,Pancreas,2000,10.9,3171,33987977
California,Pancreas,2001,10.9,3243,34479458
California,Pancreas,2002,11.4,3458,34871843
California,Pancreas,2003,10.8,3358,35253159
California,Pancreas,2004,11.2,3574,35574576
California,Pancreas,2005,11.8,3835,35827943
California,Pancreas,2006,11.7,3837,36021202
California,Pancreas,2007,11.5,3880,36250311
California,Pancreas,2008,11.7,4042,36604337
California,Pancreas,2009,11.6,4094,36961229
California,Pancreas,2010,12,4352,37319550
California,Pancreas,2011,11.6,4330,37636311
California,Pancreas,2012,11.7,4488,37944551
California,Pancreas,2013,11.7,4593,38253768
California,Pancreas,2014,11.9,4849,38586706
California,Pancreas,2015,12,4983,38904296
California,Pancreas,2016,12.3,5241,39149186
California,Pancreas,2017,12,5208,39337785
California,Pancreas,2018,12.3,5463,39437463
California,Pancreas,2019,12.4,5610,39437610
