Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Prostate,1999,166.4,20979,16699043
California,Prostate,2000,162.7,20950,16937562
California,Prostate,2001,163.8,21591,17185235
California,Prostate,2002,166.2,22471,17373381
California,Prostate,2003,151.9,21132,17543650
California,Prostate,2004,157.8,22449,17703161
California,Prostate,2005,142.5,20756,17831713
California,Prostate,2006,149.5,22266,17923731
California,Prostate,2007,156.3,24061,18035385
California,Prostate,2008,142.3,22699,18207365
California,Prostate,2009,136.3,22613,18378154
California,Prostate,2010,133.6,22828,18546274
California,Prostate,2011,129.1,22865,18694789
California,Prostate,2012,108.4,19927,18847274
California,Prostate,2013,102.4,19377,18996586
California,Prostate,2014,89.9,17586,19164689
California,Prostate,2015,92.4,18587,19328315
California,Prostate,2016,92.3,19107,19453155
California,Prostate,2017,98.6,20976,19553823
California,Prostate,2018,94.4,20470,19607822
California,Prostate,2019,98,21769,19608525
