Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Stomach,1999,8.8,2539,33499204
California,Stomach,2000,9,2638,33987977
California,Stomach,2001,8.4,2513,34479458
California,Stomach,2002,8.5,2601,34871843
California,Stomach,2003,8.3,2619,35253159
California,Stomach,2004,8.4,2687,35574576
California,Stomach,2005,8.3,2698,35827943
California,Stomach,2006,7.9,2601,36021202
California,Stomach,2007,8.2,2780,36250311
California,Stomach,2008,7.6,2642,36604337
California,Stomach,2009,8.2,2886,36961229
California,Stomach,2010,7.9,2866,37319550
California,Stomach,2011,7.6,2842,37636311
California,Stomach,2012,8.1,3072,37944551
California,Stomach,2013,7.6,2957,38253768
California,Stomach,2014,7.7,3079,38586706
California,Stomach,2015,7.4,3046,38904296
California,Stomach,2016,7.4,3108,39149186
California,Stomach,2017,7.4,3163,39337785
California,Stomach,2018,7.3,3167,39437463
California,Stomach,2019,7.2,3186,39437610
