Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Testis,1999,5.4,944,16699043
California,Testis,2000,5.3,945,16937562
California,Testis,2001,5.2,938,17185235
California,Testis,2002,5,904,17373381
California,Testis,2003,5.3,971,17543650
California,Testis,2004,5.3,977,17703161
California,Testis,2005,5.5,1010,17831713
California,Testis,2006,5.5,1014,17923731
California,Testis,2007,5.5,1039,18035385
California,Testis,2008,5.7,1073,18207365
California,Testis,2009,5.6,1076,18378154
California,Testis,2010,5.8,1120,18546274
California,Testis,2011,5.5,1067,18694789
California,Testis,2012,5.7,1103,18847274
California,Testis,2013,6,1173,18996586
California,Testis,2014,6.2,1228,19164689
California,Testis,2015,6,1204,19328315
California,Testis,2016,6.2,1247,19453155
California,Testis,2017,6.3,1272,19553823
California,Testis,2018,6.3,1255,19607822
California,Testis,2019,6.1,1229,19608525
