Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Thyroid,1999,6.7,2133,33499204
California,Thyroid,2000,6.9,2242,33987977
California,Thyroid,2001,7.2,2393,34479458
California,Thyroid,2002,7.7,2602,34871843
California,Thyroid,2003,7.9,2706,35253159
California,Thyroid,2004,8.4,2911,35574576
California,Thyroid,2005,9.2,3224,35827943
California,Thyroid,2006,9.4,3341,36021202
California,Thyroid,2007,10.2,3645,36250311
California,Thyroid,2008,11.1,4042,36604337
California,Thyroid,2009,11.6,4302,36961229
California,Thyroid,2010,12.2,4584,37319550
California,Thyroid,2011,12.4,4695,37636311
California,Thyroid,2012,13,4984,37944551
California,Thyroid,2013,13,5092,38253768
California,Thyroid,2014,13.4,5323,38586706
California,Thyroid,2015,13.6,5493,38904296
California,Thyroid,2016,12.9,5257,39149186
California,Thyroid,2017,12.8,5261,39337785
California,Thyroid,2018,13.2,5450,39437463
California,Thyroid,2019,13,5346,39437610
