Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Urinary Bladder,1999,19.8,5669,33499204
California,Urinary Bladder,2000,19.8,5767,33987977
California,Urinary Bladder,2001,19.8,5879,34479458
California,Urinary Bladder,2002,19.5,5912,34871843
California,Urinary Bladder,2003,19.7,6110,35253159
California,Urinary Bladder,2004,20.4,6413,35574576
California,Urinary Bladder,2005,19.7,6309,35827943
California,Urinary Bladder,2006,19.2,6268,36021202
California,Urinary Bladder,2007,19.5,6471,36250311
California,Urinary Bladder,2008,19.2,6503,36604337
California,Urinary Bladder,2009,19,6611,36961229
California,Urinary Bladder,2010,18.9,6747,37319550
California,Urinary Bladder,2011,18.4,6730,37636311
California,Urinary Bladder,2012,18.2,6841,37944551
California,Urinary Bladder,2013,17.6,6769,38253768
California,Urinary Bladder,2014,17.4,6927,38586706
California,Urinary Bladder,2015,16.8,6900,38904296
California,Urinary Bladder,2016,16.8,7049,39149186
California,Urinary Bladder,2017,16,6938,39337785
California,Urinary Bladder,2018,15.5,6818,39437463
California,Urinary Bladder,2019,15.2,6898,39437610
